#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-05-14T20:54:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-05-14T20:54:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJ/813/82/agn&-out=Seq,z,iMag,g-i,logM*,logMBH&-out.max=300	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18130082
#Name: J/ApJ/813/82
#Title: z<0.06 broad-line AGN emission-line measures (Reines+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apj/813/82	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/813/82	    IVOID of underlying data collection
#INFO	creator=Reines A.E.	    First author or institution
#INFO	cites=bibcode:2015ApJ...813...82R	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/813/82	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18130082	    Dataset identifier that can be used for citation
#INFO	publication_date=2019-07-30	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_813_82_agn:
#Name: J/ApJ/813/82/agn
#Title: 244 broad-line AGN properties and emission line measurements (tables 1 and 2)
#Column	Seq	(I3)	Running identification number	[ucd=meta.id]
#Column	z	(F7.4)	[0.001/0.06] Redshift (1)	[ucd=src.redshift]
#Column	iMag	(F6.2)	[-23.4/-18.6] Absolute i-band magnitude (2)	[ucd=phys.magAbs]
#Column	g-i	(F5.2)	[0.4/1.8] The (g-i) color index (2)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	logM*	(F5.2)	[8.9/11.5] Log stellar mass; corrected for AGN contribution (3)	[ucd=phys.mass]
#Column	logMBH	(F5.2)	[5/8.2] Log black hole mass (3)	[ucd=phys.mass]
Seq	z	iMag	g-i	logM*	logMBH
 41	 0.0447	-20.12	 1.20	10.14	 5.98
 42	 0.0455	-20.94	 0.69	 9.95	 7.21
 43	 0.0309	-19.76	 1.20	10.01	 5.68
 44	 0.0499	-21.05	 1.20	10.52	 7.14
 45	 0.0268	-21.82	 1.06	10.68	 7.40
 46	 0.0493	-20.66	 0.62	 9.76	 6.95
 47	 0.0390	-21.97	 0.99	10.67	 7.36
 48	 0.0254	-21.62	 1.25	10.80	 6.56
 49	 0.0327	-22.26	 1.20	11.00	 7.10
 50	 0.0284	-21.92	 0.61	10.26	 7.23
 51	 0.0484	-21.42	 1.06	10.52	 6.31
 52	 0.0511	-19.60	 1.14	 9.88	 6.62
 53	 0.0493	-21.29	 0.96	10.37	 7.06
 54	 0.0269	-20.26	 0.77	 9.76	 5.81
 55	 0.0510	-21.87	 1.10	10.75	 7.29
 56	 0.0211	-21.07	 0.82	10.14	 7.10
 57	 0.0475	-21.62	 1.11	10.65	 6.72
 58	 0.0137	-19.59	 0.86	 9.59	 6.35
 59	 0.0469	-21.85	 1.03	10.66	 7.32
 60	 0.0499	-21.74	 1.01	10.60	 6.67
 61	 0.0468	-22.07	 1.11	10.83	 7.00
 62	 0.0430	-21.52	 1.07	10.57	 6.41
 63	 0.0405	-22.27	 1.10	10.90	 7.76
 64	 0.0339	-21.88	 1.02	10.67	 5.91
 65	 0.0515	-20.09	 1.40	10.35	 6.56
 66	 0.0510	-21.87	 1.07	10.71	 6.40
 67	 0.0348	-22.76	 0.63	10.61	 7.04
 68	 0.0228	-21.75	 0.99	10.59	 7.22
 69	 0.0518	-21.86	 1.31	10.96	 7.52
 70	 0.0502	-20.36	 1.19	10.24	 5.36
 71	 0.0524	-22.66	 1.27	11.24	 6.65
 72	 0.0535	-21.92	 0.55	10.20	 7.04
 73	 0.0497	-21.32	 0.79	10.20	 7.29
 74	 0.0488	-22.01	 0.56	10.25	 6.98
 75	 0.0351	-21.62	 0.70	10.24	 6.28
 76	 0.0420	-22.48	 0.60	10.47	 7.58
 77	 0.0467	-21.22	 0.96	10.34	 6.40
 78	 0.0433	-21.32	 0.70	10.11	 6.69
 79	 0.0456	-20.48	 1.78	10.89	 6.64
 80	 0.0431	-22.30	 1.09	10.91	 6.88
 81	 0.0069	-20.07	 0.97	 9.89	 5.63
 82	 0.0431	-21.59	 0.70	10.22	 6.72
 83	 0.0510	-22.48	 1.02	10.90	 6.43
 84	 0.0354	-21.02	 0.97	10.27	 6.89
 85	 0.0519	-20.98	 0.93	10.21	 7.29
 86	 0.0357	-22.79	 1.07	11.08	 6.81
 87	 0.0271	-22.88	 0.92	10.96	 6.44
 88	 0.0543	-21.00	 0.88	10.17	 6.59
 89	 0.0370	-21.09	 1.35	10.69	 6.94
 90	 0.0433	-20.79	 0.97	10.18	 6.49
 91	 0.0526	-20.22	 1.13	10.11	 7.53
 92	 0.0315	-19.72	 0.98	 9.76	 6.44
 93	 0.0388	-23.06	 1.14	11.26	 7.08
 94	 0.0336	-20.25	 0.74	 9.73	 7.32
 95	 0.0314	-20.40	 0.81	 9.86	 6.74
 96	 0.0441	-21.33	 0.91	10.33	 6.06
 97	 0.0327	-20.53	 1.07	10.18	 5.44
 98	 0.0417	-22.63	 1.10	11.05	 7.18
 99	 0.0518	-21.34	 0.95	10.38	 7.49
100	 0.0288	-22.64	 0.72	10.66	 7.19
101	 0.0232	-20.78	 1.03	10.23	 6.85
102	 0.0282	-20.53	 0.87	 9.96	 7.10
103	 0.0322	-21.19	 1.11	10.48	 6.52
104	 0.0210	-19.81	 1.12	 9.94	 7.27
105	 0.0235	-21.48	 0.88	10.36	 5.91
106	 0.0331	-19.41	 1.48	10.16	 6.35
107	 0.0267	-20.42	 1.08	10.14	 5.99
108	 0.0515	-21.32	 0.97	10.39	 6.52
109	 0.0491	-21.08	 1.09	10.42	 6.33
110	 0.0267	-21.44	 0.89	10.36	 6.48
111	 0.0432	-21.94	 1.62	11.31	 7.63
112	 0.0517	-22.75	 1.14	11.14	 6.64
113	 0.0127	-21.89	 1.16	10.81	 7.00
114	 0.0348	-20.28	 1.04	10.05	 7.25
115	 0.0381	-21.85	 1.26	10.90	 8.03
116	 0.0484	-22.76	 1.10	11.10	 7.14
117	 0.0310	-21.88	 1.00	10.65	 5.73
118	 0.0210	-20.89	 1.21	10.47	 6.69
119	 0.0540	-22.17	 1.27	11.04	 7.16
120	 0.0308	-21.80	 1.13	10.74	 6.49
121	 0.0511	-20.23	 0.82	 9.80	 6.18
122	 0.0520	-21.64	 1.20	10.76	 7.30
123	 0.0193	-20.47	 0.48	 9.54	 6.96
124	 0.0233	-21.95	 1.03	10.70	 6.17
125	 0.0215	-20.55	 1.06	10.18	 5.91
126	 0.0205	-21.86	 1.07	10.71	 6.62
127	 0.0223	-21.81	 1.19	10.81	 6.69
128	 0.0249	-22.72	 0.97	10.95	 7.16
129	 0.0522	-22.02	 0.92	10.62	 7.33
130	 0.0481	-21.16	 1.11	10.47	 6.64
131	 0.0303	-20.29	 1.08	10.10	 6.62
132	 0.0229	-21.41	 0.98	10.43	 7.70
133	 0.0313	-21.59	 1.17	10.71	 8.06
134	 0.0499	-20.43	 0.86	 9.93	 6.56
135	 0.0511	-22.09	 1.31	11.05	 7.07
136	 0.0283	-20.02	 1.00	 9.90	 5.36
137	 0.0277	-19.60	 0.90	 9.63	 6.84
138	 0.0139	-18.81	 0.88	 9.29	 6.08
139	 0.0019	-18.63	 0.57	 8.90	 5.00
140	 0.0473	-21.13	 1.25	10.61	 7.40
141	 0.0455	-22.69	 0.78	10.74	 6.84
142	 0.0305	-21.95	 0.87	10.54	 6.64
143	 0.0208	-20.26	 0.82	 9.81	 5.86
144	 0.0407	-21.75	 1.20	10.80	 6.54
145	 0.0504	-20.34	 1.05	10.09	 6.62
146	 0.0533	-20.79	 0.90	10.10	 6.35
147	 0.0230	-20.50	 1.13	10.23	 7.03
148	 0.0465	-22.04	 1.00	10.71	 7.39
149	 0.0541	-22.21	 1.12	10.90	 6.91
150	 0.0480	-21.63	 1.06	10.61	 7.19
151	 0.0207	-20.61	 1.13	10.27	 6.11
152	 0.0526	-22.67	 0.77	10.72	 7.60
153	 0.0368	-19.00	 1.08	 9.57	 6.07
154	 0.0296	-19.33	 0.97	 9.59	 6.65
155	 0.0487	-21.80	 1.17	10.79	 7.44
156	 0.0546	-20.46	 1.20	10.28	 6.27
157	 0.0288	-20.87	 1.11	10.35	 6.44
158	 0.0484	-20.37	 0.86	 9.89	 5.66
159	 0.0320	-21.71	 0.97	10.55	 6.67
160	 0.0496	-22.90	 0.60	10.64	 7.04
161	 0.0528	-21.53	 1.14	10.65	 6.34
162	 0.0442	-21.62	 1.28	10.83	 7.71
163	 0.0476	-20.34	 0.79	 9.81	 6.58
164	 0.0202	-21.75	 0.86	10.45	 6.70
165	 0.0044	-20.85	 1.02	10.26	 6.77
166	 0.0238	-19.46	 1.01	 9.68	 6.52
167	 0.0546	-22.11	 0.55	10.27	 6.82
168	 0.0247	-20.19	 0.71	 9.67	 6.30
169	 0.0225	-21.59	 1.22	10.75	 6.52
170	 0.0230	-21.71	 0.95	10.52	 6.16
171	 0.0325	-21.13	 0.88	10.22	 7.44
172	 0.0080	-21.15	 1.08	10.43	 5.47
173	 0.0338	-22.14	 0.98	10.73	 7.33
174	 0.0535	-21.74	 1.07	10.67	 7.21
175	 0.0349	-22.24	 0.78	10.57	 7.27
176	 0.0536	-22.61	 1.06	11.00	 7.22
177	 0.0167	-22.67	 0.85	10.80	 7.94
178	 0.0545	-22.21	 1.18	10.96	 6.61
179	 0.0498	-20.55	 1.30	10.42	 7.58
180	 0.0471	-22.20	 1.01	10.78	 7.03
181	 0.0433	-22.33	 0.77	10.59	 6.90
182	 0.0280	-20.89	 0.90	10.14	 5.84
183	 0.0370	-21.84	 0.49	10.10	 7.72
184	 0.0495	-22.04	 0.82	10.53	 7.12
185	 0.0210	-20.70	 0.67	 9.84	 6.55
186	 0.0303	-22.14	 1.15	10.91	 6.79
187	 0.0437	-21.21	 1.21	10.60	 6.64
188	 0.0442	-21.97	 0.82	10.49	 6.12
189	 0.0440	-20.40	 0.98	10.03	 6.55
190	 0.0350	-19.93	 1.22	10.09	 7.08
191	 0.0302	-21.92	 0.93	10.59	 7.07
192	 0.0427	-21.11	 0.91	10.25	 6.85
193	 0.0464	-22.83	 1.21	11.24	 7.40
194	 0.0540	-22.92	 1.00	11.06	 7.45
195	 0.0454	-21.43	 0.91	10.37	 6.84
196	 0.0375	-21.56	 1.05	10.56	 6.96
197	 0.0308	-20.91	 1.14	10.41	 6.24
198	 0.0398	-20.01	 0.99	 9.88	 5.98
199	 0.0449	-20.87	 1.15	10.39	 6.53
200	 0.0394	-21.44	 1.22	10.70	 6.72
201	 0.0354	-22.11	 0.74	10.46	 7.20
202	 0.0359	-22.18	 0.97	10.74	 6.97
203	 0.0336	-23.05	 0.72	10.83	 7.61
204	 0.0419	-21.69	 1.14	10.71	 7.47
205	 0.0197	-21.19	 0.93	10.29	 6.35
206	 0.0504	-19.84	 0.75	 9.57	 6.51
207	 0.0353	-22.69	 1.10	11.07	 7.24
208	 0.0484	-20.67	 1.18	10.35	 7.69
209	 0.0375	-20.06	 0.79	 9.70	 6.48
210	 0.0456	-19.21	 0.72	 9.29	 6.45
211	 0.0486	-21.35	 0.85	10.28	 7.73
212	 0.0355	-20.75	 1.23	10.43	 6.66
213	 0.0153	-21.47	 0.93	10.41	 6.21
214	 0.0430	-21.10	 1.12	10.45	 7.31
215	 0.0532	-20.88	 0.89	10.13	 7.80
216	 0.0317	-20.55	 1.34	10.46	 6.50
217	 0.0445	-22.18	 1.10	10.87	 6.89
218	 0.0463	-21.80	 1.33	10.95	 7.06
219	 0.0335	-22.45	 0.84	10.71	 7.52
220	 0.0416	-20.97	 1.02	10.30	 7.26
221	 0.0379	-21.06	 0.68	 9.99	 7.52
222	 0.0342	-20.28	 0.61	 9.60	 6.20
223	 0.0483	-22.98	 0.86	10.94	 7.20
224	 0.0383	-21.77	 0.99	10.59	 6.78
225	 0.0514	-21.53	 0.99	10.50	 6.90
226	 0.0336	-20.83	 0.85	10.07	 7.10
227	 0.0506	-21.43	 0.96	10.43	 6.95
228	 0.0467	-21.95	 1.08	10.76	 7.14
229	 0.0465	-21.26	 0.89	10.28	 6.40
230	 0.0389	-22.20	 0.99	10.76	 7.40
231	 0.0495	-21.23	 1.41	10.81	 7.73
232	 0.0543	-20.12	 1.10	10.04	 7.24
233	 0.0269	-22.10	 1.11	10.85	 6.97
234	 0.0436	-23.23	 0.84	11.02	 7.14
235	 0.0461	-21.47	 1.18	10.66	 7.04
236	 0.0549	-20.22	 0.88	 9.85	 6.49
237	 0.0533	-21.63	 1.06	10.61	 6.42
238	 0.0533	-22.30	 1.08	10.89	 7.57
239	 0.0416	-22.20	 1.21	10.99	 6.82
240	 0.0350	-21.73	 1.09	10.67	 6.32
241	 0.0356	-21.15	 1.15	10.51	 6.29
242	 0.0544	-21.62	 0.73	10.26	 6.62
243	 0.0304	-22.53	 1.21	11.12	 7.05
244	 0.0363	-20.27	 1.03	10.03	 5.91

