# Graham & Sahu 2023, MNRAS 518, 2177 (arXiv:2209.14526)
# Table 1 -- M_BH vs spheroid and total galaxy stellar mass
# NOTE: 2024 erratum (Graham & Sahu 2024, MNRAS 530, 3429)
# subtracts 0.15 dex from BOTH log M_*sph and log M_*gal --
# apply that correction at load time, do NOT pre-apply here.
name,gtype,log_Mstar_sph,log_Mstar_sph_err,log_Mstar_gal,log_Mstar_gal_err,log_MBH,log_MBH_err
NGC 3842,E,11.91,0.14,11.93,0.13,9.94,0.13
NGC 3923,E,11.55,0.17,11.55,0.17,9.47,0.13
NGC 3998,ES/S0,10.12,0.26,10.61,0.15,8.33,0.43
NGC 4026,ES/S0,10.19,0.22,10.44,0.17,8.26,0.12
NGC 4151,S,10.28,0.22,10.62,0.17,7.69,0.37
NGC 4258,S,10.02,0.19,10.7,0.13,7.6,0.01
NGC 4261,E,11.52,0.16,11.54,0.15,9.2,0.09
NGC 4291,E,10.8,0.18,10.8,0.18,8.51,0.37
NGC 4303,S,9.6,0.25,10.66,0.13,6.78,0.17
NGC 4339,ES/S0,9.73,0.21,10.22,0.14,7.62,0.33
NGC 4342,ES/S0,10.04,0.15,10.36,0.15,8.65,0.18
NGC 4350,ES/S0,10.39,0.25,10.66,0.13,8.87,0.41
NGC 4371,ES/S0,9.99,0.3,10.7,0.22,6.84,0.12
NGC 4374,E,11.61,0.15,11.61,0.15,8.95,0.05
NGC 4388,S,10.07,0.3,10.45,0.21,6.9,0.1
NGC 4395,S,nan,nan,9.15,0.13,5.62,0.17
NGC 4429,ES/S0,10.6,0.2,11.04,0.13,8.18,0.08
NGC 4434,ES/S0,9.95,0.2,10.22,0.13,7.85,0.17
NGC 4459,ES/S0,10.56,0.21,10.77,0.15,7.82,0.1
NGC 4472,E,11.75,0.13,11.75,0.13,9.36,0.04
NGC 4473,E,10.75,0.13,10.83,0.13,8.07,0.36
NGC 4486,E,11.67,0.15,11.67,0.15,9.81,0.06
NGC 4501,S,10.46,0.25,11.02,0.13,7.31,0.08
NGC 4526,ES/S0,10.79,0.26,11.13,0.15,8.65,0.04
NGC 4552,E,11.01,0.16,11.07,0.16,8.67,0.05
NGC 4564,ES/S0,10.08,0.16,10.35,0.14,7.77,0.06
NGC 4578,ES/S0,9.79,0.15,10.24,0.13,7.28,0.35
NGC 4594,S,11.04,0.25,11.26,0.13,8.81,0.03
NGC 4596,ES/S0,10.28,0.2,10.86,0.13,7.9,0.2
NGC 4621,E,11.24,0.16,11.28,0.15,8.59,0.06
NGC 4649,E,11.56,0.14,11.56,0.14,9.66,0.1
NGC 4697,E,11.07,0.15,11.12,0.14,8.26,0.04
NGC 4699,S,10.3,0.25,11.27,0.2,8.27,0.09
NGC 4736,S,10.03,0.21,10.51,0.14,6.83,0.11
NGC 4742,ES/S0,9.78,0.16,10.07,0.14,7.13,0.18
NGC 4762,ES/S0,9.74,0.15,10.83,0.13,7.24,0.14
NGC 4826,S,9.88,0.21,10.74,0.15,6.18,0.12
NGC 4889,E,12.26,0.14,12.26,0.14,10.3,0.44
NGC 4945,S,9.29,0.2,10.42,0.13,6.13,0.3
NGC 5018,ES/S0,10.93,0.16,11.31,0.14,8.0,0.08
NGC 5055,S,10.49,0.25,10.81,0.13,8.94,0.1
NGC 5077,E,11.41,0.2,11.41,0.2,8.85,0.23
NGC 5128,ES/S0,10.71,0.25,11.14,0.12,7.65,0.12
NGC 5252,ES/S0,10.97,0.27,11.5,0.15,9.03,0.4
NGC 5419,E,11.87,0.16,11.87,0.14,9.87,0.14
NGC 5576,E,10.9,0.16,10.9,0.16,8.19,0.1
NGC 5813,ES/S0,10.96,0.16,11.34,0.14,8.83,0.06
NGC 5845,ES/S0,10.26,0.21,10.46,0.15,8.41,0.22
NGC 5846,E,11.55,0.15,11.55,0.15,9.04,0.06
NGC 6251,E,11.87,0.15,11.87,0.15,8.77,0.16
NGC 6861,ES/S0,11.07,0.19,11.15,0.18,9.3,0.08
NGC 6926,S,nan,nan,11.13,0.14,7.68,0.5
NGC 7052,E,11.46,0.13,11.46,0.13,9.35,0.05
NGC 7332,ES/S0,10.17,0.17,10.79,0.15,7.06,0.2
NGC 7457,ES/S0,9.34,0.17,10.12,0.15,6.96,0.3
NGC 7582,S,10.28,0.29,10.9,0.2,7.72,0.12
NGC 7619,E,11.69,0.14,11.71,0.13,9.36,0.09
NGC 7768,E,11.9,0.16,11.9,0.16,9.09,0.15
UGC 3789,S,10.11,0.26,10.68,0.15,7.07,0.05
